,,,Gecode,Gurobi,Gecode,Gurobi
,,,Initial,Initial,Preprocessing,Preprocessing
Month,House,Result,,,,
7,30,time,730.0,250.0,710.0,200.0
7,31,time,290.0,310.0,280.0,180.0
7,32,time,940.0,240.0,930.0,210.0
7,33,time,100.0,190.0,90.0,180.0
7,34,time,80.0,210.0,70.0,180.0
7,35,time,90.0,170.0,90.0,130.0
7,36,time,90.0,170.0,80.0,120.0
7,37,time,70.0,260.0,60.0,150.0
7,38,time,80.0,180.0,60.0,120.0
7,39,time,640.0,220.0,630.0,160.0
7,40,time,100.0,220.0,80.0,180.0
7,41,time,120.0,190.0,90.0,140.0
7,42,time,110.0,210.0,100.0,150.0
7,43,time,120.0,180.0,80.0,150.0
7,44,time,80.0,230.0,70.0,140.0
7,45,time,110.0,210.0,90.0,150.0
7,46,time,110.0,280.0,100.0,190.0
7,47,time,80.0,220.0,70.0,170.0
7,48,time,780.0,220.0,200.0,160.0
7,49,time,90.0,210.0,70.0,140.0
7,50,time,90.0,210.0,70.0,200.0
7,51,time,310.0,250.0,170.0,170.0
7,52,time,90.0,180.0,70.0,150.0
7,53,time,130.0,230.0,120.0,160.0
7,54,time,210.0,260.0,180.0,180.0
7,55,time,150.0,220.0,140.0,160.0
7,56,time,130.0,480.0,120.0,190.0
7,57,time,930.0,200.0,930.0,170.0
7,58,time,90.0,190.0,70.0,140.0
7,59,time,140.0,220.0,130.0,160.0
7,60,time,130.0,260.0,320.0,180.0
7,61,time,120.0,230.0,120.0,190.0
7,62,time,120.0,220.0,90.0,160.0
7,63,time,90.0,190.0,70.0,120.0
7,64,time,100.0,240.0,70.0,180.0
7,65,time,80.0,390.0,70.0,170.0
7,66,time,90.0,230.0,70.0,140.0
7,67,time,100.0,210.0,90.0,170.0
7,68,time,130.0,240.0,110.0,190.0
7,69,time,150.0,620.0,140.0,240.0
7,70,time,130.0,240.0,80.0,180.0
7,71,time,100.0,180.0,70.0,130.0
7,72,time,100.0,180.0,100.0,130.0
7,73,time,120.0,230.0,100.0,140.0
7,74,time,100.0,200.0,90.0,140.0
7,75,time,150.0,250.0,130.0,160.0
7,76,time,80.0,210.0,70.0,150.0
7,77,time,100.0,270.0,80.0,180.0
7,78,time,120.0,190.0,110.0,130.0
7,79,time,200.0,200.0,190.0,140.0
7,80,time,180.0,210.0,170.0,150.0
8,1,time,150.0,220.0,140.0,170.0
8,2,time,150.0,220.0,100.0,170.0
8,3,time,190.0,320.0,170.0,230.0
8,4,time,500.0,320.0,130.0,190.0
8,5,time,90.0,220.0,70.0,180.0
8,6,time,260.0,190.0,250.0,140.0
8,7,time,150.0,230.0,190.0,170.0
