,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
2,26,anti_first_fail,indomain_min,time,60.0,80.0,0.00021151313558220863,,3.525218926370144e-06
2,27,anti_first_fail,indomain_min,obj,2522900.0,2522900.0,2522900.0,2521700.0,1.0
2,27,anti_first_fail,indomain_min,time,60.0,110.0,0.00019507319666445255,,3.2512199444075425e-06
2,28,anti_first_fail,indomain_min,obj,1220580.0,1220580.0,1220580.0,1486488.0,1.0
2,28,anti_first_fail,indomain_min,time,50.0,80.0,0.00020584999583661556,,4.1169999167323115e-06
2,29,anti_first_fail,indomain_min,obj,2743160.0,2743160.0,2743160.0,3135060.0,1.0
2,29,anti_first_fail,indomain_min,time,50.0,80.0,0.00020042387768626213,,4.008477553725242e-06
2,30,anti_first_fail,indomain_min,obj,1618552.0,1618552.0,1618552.0,1891852.0,1.0
2,30,anti_first_fail,indomain_min,time,60.0,70.0,0.000189503887668252,,3.1583981278042e-06
2,31,anti_first_fail,indomain_min,obj,347775.0,347775.0,710028.0,235261.0,2.04163036445978
2,31,anti_first_fail,indomain_min,time,60.0,100.0,0.00023657502606511116,,3.942917101085186e-06
2,32,anti_first_fail,indomain_min,obj,1587778.0,1587778.0,1587778.0,2912578.0,1.0
2,32,anti_first_fail,indomain_min,time,50.0,70.0,0.00021626008674502373,,4.325201734900474e-06
2,33,anti_first_fail,indomain_min,obj,2696600.0,2696600.0,2696600.0,4968800.0,1.0
2,33,anti_first_fail,indomain_min,time,60.0,100.0,0.00023294496349990368,,3.882416058331728e-06
2,34,anti_first_fail,indomain_min,obj,989876.0,989876.0,989876.0,1475836.0,1.0
2,34,anti_first_fail,indomain_min,time,50.0,70.0,0.00018753414042294025,,3.750682808458805e-06
2,35,anti_first_fail,indomain_min,obj,3258545.0,3258545.0,3354735.0,3378135.0,1.0295193099987878
2,35,anti_first_fail,indomain_min,time,50.0,100.0,0.000214739004150033,,4.29478008300066e-06
2,36,anti_first_fail,indomain_min,obj,374674.0,374674.0,374674.0,374674.0,1.0
2,36,anti_first_fail,indomain_min,time,60.0,70.0,0.00019237794913351536,,3.206299152225256e-06
2,37,anti_first_fail,indomain_min,obj,1426096.0,1426096.0,1494996.0,1334996.0,1.0483137180105686
2,37,anti_first_fail,indomain_min,time,60.0,90.0,0.0001876000314950943,,3.126667191584905e-06
2,38,anti_first_fail,indomain_min,obj,82530.0,82530.0,90775.0,81720.0,1.0999030655519204
2,38,anti_first_fail,indomain_min,time,50.0,100.0,0.0001954999752342701,,3.909999504685402e-06
2,39,anti_first_fail,indomain_min,obj,1158248.0,1158248.0,1189748.0,1421948.0,1.0271962481264807
2,39,anti_first_fail,indomain_min,time,60.0,90.0,0.00021079694852232933,,3.5132824753721553e-06
2,40,anti_first_fail,indomain_min,obj,707376.0,707376.0,766776.0,1012476.0,1.0839723145823437
2,40,anti_first_fail,indomain_min,time,50.0,110.0,0.00020607886835932732,,4.1215773671865465e-06
2,41,anti_first_fail,indomain_min,obj,2253935.0,2253935.0,2253935.0,3700535.0,1.0
2,41,anti_first_fail,indomain_min,time,50.0,100.0,0.00020953896455466747,,4.190779291093349e-06
2,42,anti_first_fail,indomain_min,obj,1650675.0,1650675.0,1652825.0,1572075.0,1.001302497463159
2,42,anti_first_fail,indomain_min,time,60.0,80.0,0.00019950303249061108,,3.3250505415101847e-06
2,43,anti_first_fail,indomain_min,obj,1259340.0,1259340.0,1259340.0,1795540.0,1.0
2,43,anti_first_fail,indomain_min,time,50.0,80.0,0.0002027291338890791,,4.054582677781582e-06
2,44,anti_first_fail,indomain_min,obj,1940940.0,1940940.0,1940940.0,2381940.0,1.0
2,44,anti_first_fail,indomain_min,time,50.0,70.0,0.00018791202455759048,,3.75824049115181e-06
2,45,anti_first_fail,indomain_min,obj,153583.0,153583.0,153583.0,176083.0,1.0
2,45,anti_first_fail,indomain_min,time,50.0,80.0,0.00020386092364788055,,4.077218472957611e-06
2,46,anti_first_fail,indomain_min,obj,861956.0,861956.0,861956.0,1091306.0,1.0
2,46,anti_first_fail,indomain_min,time,60.0,80.0,0.0002212368417531252,,3.68728069588542e-06
2,47,anti_first_fail,indomain_min,obj,679095.0,679095.0,679095.0,1419095.0,1.0
2,47,anti_first_fail,indomain_min,time,50.0,100.0,0.00023774895817041397,,4.754979163408279e-06
2,48,anti_first_fail,indomain_min,obj,1018900.0,1018900.0,1114400.0,1134650.0,1.0937285307684759
2,48,anti_first_fail,indomain_min,time,50.0,90.0,0.0002354609314352274,,4.709218628704548e-06
2,49,anti_first_fail,indomain_min,obj,1563690.0,1563690.0,1563690.0,2464590.0,1.0
2,49,anti_first_fail,indomain_min,time,60.0,70.0,0.00018727709539234638,,3.1212849232057732e-06
2,50,anti_first_fail,indomain_min,obj,966466.0,966466.0,966466.0,1511266.0,1.0
2,50,anti_first_fail,indomain_min,time,60.0,80.0,0.00019349996000528336,,3.224999333421389e-06
