Month,House,Variable choices,Constraint variables,Result,OGSA,Gecode,Preferred,Ratio,OGSA,Optimised,Preferred,
6,58,anti_first_fail,indomain_min,obj,850980,856064,1231842,0.994061192,5827,4575,2400,1.273661202
6,53,anti_first_fail,indomain_min,obj,1305120,1312800,3008160,0.994149909,8640,8520,6000,1.014084507
2,100,anti_first_fail,indomain_min,obj,555938,559142,1147572,0.994269792,4053,3910,2400,1.03657289
9,51,anti_first_fail,indomain_min,obj,1971825,1983150,3683700,0.994289388,6900,4000,4000,1.725
8,86,anti_first_fail,indomain_min,obj,803130,807730,2166900,0.994305028,7720,5330,4000,1.448405253
7,86,anti_first_fail,indomain_min,obj,715500,719500,1788520,0.994440584,6430,4220,4000,1.523696682
7,75,anti_first_fail,indomain_min,obj,1745950,1755450,5802800,0.994588282,14150,8250,6000,1.715151515
2,91,anti_first_fail,indomain_min,obj,1075866,1081702,2429004,0.994604799,6000,6000,6000,1
11,6,anti_first_fail,indomain_min,obj,374616,376640,503035,0.994626168,1123,1004,600,1.118525896
8,87,anti_first_fail,indomain_min,obj,482200,484800,876355,0.994636964,4735,3435,2400,1.37845706
8,97,anti_first_fail,indomain_min,obj,560450,563450,1654750,0.994675659,5150,3350,2100,1.537313433
4,75,anti_first_fail,indomain_min,obj,3373400,3391400,5512050,0.994692457,14150,8250,6000,1.715151515
6,75,anti_first_fail,indomain_min,obj,3373400,3391400,7437850,0.994692457,14150,8200,6000,1.725609756
5,6,anti_first_fail,indomain_min,obj,217195,218351,412164,0.994705772,1127,1059,600,1.06421152
3,93,anti_first_fail,indomain_min,obj,886940,891590,1056495,0.994784598,3830,2540,2400,1.507874016
2,77,anti_first_fail,indomain_min,obj,1459622,1467182,2390840,0.994847265,4811,3611,2400,1.332317917
2,62,anti_first_fail,indomain_min,obj,1549244,1557144,2451208,0.994926609,3500,3500,3500,1
5,68,anti_first_fail,indomain_min,obj,171679,172519,391683,0.995130971,1603,1463,1200,1.09569378
12,53,anti_first_fail,indomain_min,obj,1424250,1431210,3181770,0.995136982,8640,8520,6000,1.014084507
1,51,anti_first_fail,indomain_min,obj,2140125,2150375,3310200,0.99523339,6825,4000,4000,1.70625
5,77,anti_first_fail,indomain_min,obj,1078441,1083601,2186234,0.9952381,4941,3611,2400,1.368319025
9,11,anti_first_fail,indomain_min,obj,1278870,1284950,1481220,0.995268298,2315,2015,2000,1.148883375
9,29,anti_first_fail,indomain_min,obj,593728,596528,1025884,0.995306172,2900,3200,1500,0.90625
9,81,anti_first_fail,indomain_min,obj,127260,127860,211260,0.995307367,800,700,500,1.142857143
5,24,anti_first_fail,indomain_min,obj,2823584,2836784,5789568,0.995346843,9862,8762,6000,1.125542114
5,54,anti_first_fail,indomain_min,obj,371000,372730,1065660,0.995358571,3820,3630,2400,1.052341598
9,22,anti_first_fail,indomain_min,obj,550563,553095,968055,0.995422125,4649,2400,2400,1.937083333
12,93,anti_first_fail,indomain_min,obj,902775,906885,1250545,0.995468003,3830,2540,2400,1.507874016
7,13,anti_first_fail,indomain_min,obj,331290,332790,1171740,0.995492653,4500,3335,3200,1.349325337
8,42,anti_first_fail,indomain_min,obj,532180,534580,2398402,0.995510494,7393,6193,4000,1.193767156
10,100,anti_first_fail,indomain_min,obj,715613,718829,1094065,0.995526057,4053,3910,2400,1.03657289
1,5,anti_first_fail,indomain_min,obj,1562340,1569340,5812044,0.995539526,4050,3050,2300,1.327868852
5,89,anti_first_fail,indomain_min,obj,1207740,1213140,2163640,0.995548741,6250,6200,6200,1.008064516
10,22,anti_first_fail,indomain_min,obj,625899,628677,1049121,0.995581197,4649,4600,2400,1.010652174
8,99,anti_first_fail,indomain_min,obj,431715,433625,1555850,0.995595272,7555,7400,5000,1.020945946
4,50,anti_first_fail,indomain_min,obj,904520,908520,1635340,0.995597235,5500,4600,2400,1.195652174
11,62,anti_first_fail,indomain_min,obj,1480884,1487400,1554284,0.995619201,3500,3500,3500,1
2,82,anti_first_fail,indomain_min,obj,2417120,2427724,4505816,0.995632123,9958,8450,6000,1.178461538
8,70,anti_first_fail,indomain_min,obj,95925,96345,348055,0.995640666,1325,1115,1000,1.188340807
4,11,anti_first_fail,indomain_min,obj,1390360,1396390,1494920,0.995681722,2300,2300,2000,1
2,53,anti_first_fail,indomain_min,obj,1345725,1351485,2527005,0.995738022,8640,8520,6000,1.014084507
9,75,anti_first_fail,indomain_min,obj,3842050,3858450,7358200,0.995749589,14150,8150,6000,1.736196319
7,24,anti_first_fail,indomain_min,obj,1815048,1822748,5174488,0.995775609,9862,8762,6000,1.125542114
2,37,anti_first_fail,indomain_min,obj,341820,343270,570360,0.99577592,3195,3095,2400,1.032310178
8,8,anti_first_fail,indomain_min,obj,221320,222256,835864,0.99578864,2648,2530,1330,1.046640316
10,73,anti_first_fail,indomain_min,obj,150979,151609,223920,0.995844574,589,574,350,1.026132404
