,,,,,Gecode,Optimistic
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
2,83,first_fail,indomain_split_random,obj,2457750.0,1995980.0
2,83,first_fail,indomain_split_random,time,90.0,0.0003068329970119521
2,84,first_fail,indomain_split_random,obj,816100.0,816100.0
2,84,first_fail,indomain_split_random,time,90.0,0.0005549749912461266
2,85,first_fail,indomain_split_random,obj,668622.0,549182.0
2,85,first_fail,indomain_split_random,time,90.0,0.00033677600731607527
2,86,first_fail,indomain_split_random,obj,2382710.0,1827110.0
2,86,first_fail,indomain_split_random,time,100.0,0.0002904190041590482
2,87,first_fail,indomain_split_random,obj,1075397.0,550297.0
2,87,first_fail,indomain_split_random,time,90.0,0.0002848470030585304
2,88,first_fail,indomain_split_random,obj,904460.0,768460.0
2,88,first_fail,indomain_split_random,time,140.0,0.00027443199360277504
2,89,first_fail,indomain_split_random,obj,816060.0,723210.0
2,89,first_fail,indomain_split_random,time,90.0,0.0002744180092122406
2,90,first_fail,indomain_split_random,obj,1232960.0,1175080.0
2,90,first_fail,indomain_split_random,time,90.0,0.0002825520059559494
2,91,first_fail,indomain_split_random,obj,1916968.0,1916968.0
2,91,first_fail,indomain_split_random,time,90.0,0.0004848789976676926
2,92,first_fail,indomain_split_random,obj,1664215.0,1086259.0
2,92,first_fail,indomain_split_random,time,100.0,0.0004345299967098981
2,93,first_fail,indomain_split_random,obj,1018470.0,1018470.0
2,93,first_fail,indomain_split_random,time,110.0,0.000246928000706248
2,94,first_fail,indomain_split_random,obj,1721800.0,1024120.0
2,94,first_fail,indomain_split_random,time,80.0,0.0002962529979413375
2,95,first_fail,indomain_split_random,obj,1796710.0,1461520.0
2,95,first_fail,indomain_split_random,time,100.0,0.0003216659970348701
2,96,first_fail,indomain_split_random,obj,1592705.0,1309425.0
2,96,first_fail,indomain_split_random,time,100.0,0.0002556300023570657
2,97,first_fail,indomain_split_random,obj,3971960.0,3080960.0
2,97,first_fail,indomain_split_random,time,90.0,0.00035510800080373883
2,98,first_fail,indomain_split_random,obj,1340265.0,944265.0
2,98,first_fail,indomain_split_random,time,100.0,0.0002643210027599707
2,99,first_fail,indomain_split_random,obj,2125948.0,1925008.0
2,99,first_fail,indomain_split_random,time,100.0,0.00037339300615713
2,100,first_fail,indomain_split_random,obj,613856.0,488602.0
2,100,first_fail,indomain_split_random,time,80.0,0.00027859301189891994
3,1,first_fail,indomain_split_random,obj,2313992.0,1740442.0
3,1,first_fail,indomain_split_random,time,130.0,0.00030620199686381966
3,2,first_fail,indomain_split_random,obj,1986992.0,1138292.0
3,2,first_fail,indomain_split_random,time,100.0,0.000339481994160451
3,3,first_fail,indomain_split_random,obj,1664938.0,1578538.0
3,3,first_fail,indomain_split_random,time,90.0,0.0004976079944754019
3,4,first_fail,indomain_split_random,obj,1334968.0,1125668.0
3,4,first_fail,indomain_split_random,time,90.0,0.00024094799300655723
3,5,first_fail,indomain_split_random,obj,334776.0,229468.0
3,5,first_fail,indomain_split_random,time,90.0,0.0003186169924447313
3,6,first_fail,indomain_split_random,obj,380460.0,178760.0
3,6,first_fail,indomain_split_random,time,90.0,0.00027312300517223775
3,7,first_fail,indomain_split_random,obj,716889.0,685289.0
3,7,first_fail,indomain_split_random,time,80.0,0.000313773998641409
3,8,first_fail,indomain_split_random,obj,1305440.0,864964.0
3,8,first_fail,indomain_split_random,time,150.0,0.000271067998255603
3,9,first_fail,indomain_split_random,obj,2290120.0,2119520.0
3,9,first_fail,indomain_split_random,time,130.0,0.0005298929900163785
3,10,first_fail,indomain_split_random,obj,360070.0,190425.0
3,10,first_fail,indomain_split_random,time,120.0,0.0002458989911247045
3,11,first_fail,indomain_split_random,obj,1103975.0,1103975.0
3,11,first_fail,indomain_split_random,time,100.0,0.00025350399664603174
3,12,first_fail,indomain_split_random,obj,1424560.0,1178240.0
3,12,first_fail,indomain_split_random,time,110.0,0.00031770799250807613
3,13,first_fail,indomain_split_random,obj,1044938.0,870530.0
3,13,first_fail,indomain_split_random,time,100.0,0.00024636799935251474
