,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio,,
,,,,,Modified,Modified,Modified,Modified,Modified,,
Month,House,Variable choices,Constraint variables,Result,,,,,,,
2,51,anti_first_fail,indomain_min,time,60,90,0.000198575,,3.31E-06,,
2,52,anti_first_fail,indomain_min,obj,964120,964120,964120,968920,1,,0%
2,52,anti_first_fail,indomain_min,time,60,70,0.00019219,,3.20E-06,,
2,53,anti_first_fail,indomain_min,obj,1247104,1247104,1247104,2102728,1,,41%
2,53,anti_first_fail,indomain_min,time,60,110,0.00022783,,3.80E-06,,
2,54,anti_first_fail,indomain_min,obj,1822100,1822100,1822100,1949900,1,,7%
2,54,anti_first_fail,indomain_min,time,60,70,0.000198127,,3.30E-06,,
2,55,anti_first_fail,indomain_min,obj,545230,545230,545230,397630,1,,-37%
2,55,anti_first_fail,indomain_min,time,50,90,0.000202847,,4.06E-06,,
2,56,anti_first_fail,indomain_min,obj,1155356,1155356,1155356,1239010,1,,7%
2,56,anti_first_fail,indomain_min,time,60,70,0.000191184,,3.19E-06,,
2,57,anti_first_fail,indomain_min,obj,1853650,1853650,1853650,2419400,1,,23%
2,57,anti_first_fail,indomain_min,time,50,70,0.00019586,,3.92E-06,,
2,58,anti_first_fail,indomain_min,obj,2379400,2379400,2379400,3791000,1,,37%
2,58,anti_first_fail,indomain_min,time,50,60,0.000195534,,3.91E-06,,
2,59,anti_first_fail,indomain_min,obj,269235,269235,269235,437135,1,,38%
2,59,anti_first_fail,indomain_min,time,60,90,0.000221902,,3.70E-06,,
2,60,anti_first_fail,indomain_min,obj,1993100,1993100,1995800,2773400,1.001354674,,28%
2,60,anti_first_fail,indomain_min,time,50,100,0.000226569,,4.53E-06,,
2,61,anti_first_fail,indomain_min,obj,502630,502630,502630,498330,1,,-1%
2,61,anti_first_fail,indomain_min,time,60,80,0.000217244,,3.62E-06,,
2,62,anti_first_fail,indomain_min,obj,1516150,1516150,1516150,1543250,1,,2%
2,62,anti_first_fail,indomain_min,time,60,80,0.000202166,,3.37E-06,,
2,63,anti_first_fail,indomain_min,obj,341411,341411,341411,365501,1,,7%
